Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,Column1,_1
0,CALL2M,146.52,,0,,88.5,88.5,23,NN,FM,5,,2 m Calling Frequency,,
1,CALL70,446,,0,,88.5,88.5,23,NN,FM,5,,70 cm Calling Frequency,,
2,FRS08,467.5625,,0,,88.5,88.5,23,NN,FM,12.5,S,FRS channel - low power,,
3,FRS09,467.5875,,0,,88.5,88.5,23,NN,FM,12.5,S,FRS channel - low power,,
4,FRS10,467.6125,,0,,88.5,88.5,23,NN,FM,12.5,S,FRS channel - low power,,
5,FRS11,467.6375,,0,,88.5,88.5,23,NN,FM,12.5,S,FRS channel - low power,,
6,FRS12,467.6625,,0,,88.5,88.5,23,NN,FM,12.5,S,FRS channel - low power,,
7,FRS13,467.6875,,0,,88.5,88.5,23,NN,FM,12.5,S,FRS channel - low power,,
8,FRS14,467.7125,,0,,88.5,88.5,23,NN,FM,12.5,S,FRS channel - low power,,
9,FRSG01,462.5625,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel - Both receive and transmit,,
10,FRSG02,462.5875,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
11,FRSG03,462.6125,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
12,FRSG04,462.6375,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
13,FRSG05,462.6625,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
14,FRSG06,462.6875,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
15,FRSG07,462.7125,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
16,FRSG15,462.55,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
17,FRSG16,462.575,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
18,FRSG17,462.6,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
19,FRSG18,462.625,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
20,FRSG19,462.65,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
21,FRSG20,462.675,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
22,FRSG21,462.7,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
23,FRSG22,462.725,,0,,88.5,88.5,23,NN,FM,12.5,S,FRSG channel,,
24,GMRR15,462.55,+,5,,88.5,88.5,23,NN,FM,12.5,S,GMRS Repeater channel,,
25,GMRR16,462.575,+,5,,88.5,88.5,23,NN,FM,12.5,S,GMRS Repeater channel,,
26,GMRR17,462.6,+,5,,88.5,88.5,23,NN,FM,12.5,S,GMRS Repeater channel,,
27,GMRR18,462.625,+,5,,88.5,88.5,23,NN,FM,12.5,S,GMRS Repeater channel,,
28,GMRR19,462.65,+,5,,88.5,88.5,23,NN,FM,12.5,S,GMRS Repeater channel,,
29,GMRR20,462.675,+,5,,88.5,88.5,23,NN,FM,12.5,S,GMRS Repeater channel,,
30,GMRR21,462.7,+,5,,88.5,88.5,23,NN,FM,12.5,S,GMRS Repeater channel,,
31,GMRR22,462.725,+,5,,88.5,88.5,23,NN,FM,12.5,S,GMRS Repeater channel,,
32,MURS1,151.82,,0,,88.5,88.5,23,NN,FM,5,,MURS,,
33,MURS2,151.88,,0,,88.5,88.5,23,NN,FM,5,,MURS,,
34,MURS3,151.94,,0,,88.5,88.5,23,NN,FM,5,,MURS,,
35,MURSBL,154.57,,0,,88.5,88.5,23,NN,FM,5,,MURS Blue Dot,,
36,MURSGR,154.6,,0,,88.5,88.5,23,NN,FM,5,,MURS Green Dot,,
37,MURSPR,151.955,,0,,88.5,88.5,23,NN,FM,5,,MURS Purple Dot,,
38,MURSRD,151.625,,0,,88.5,88.5,23,NN,FM,5,,MURS Red Dot,,
