Operation,FT-2DR,FT-5DR,VX-6R,FT-60R,FTM-500DR,FT-817ND,FT-857D,FT-8800R/8900R,ID-51,IC-705,TH D-75,TM D-710,TM-V71A
Settings,,,,,,,,,,,,,
Menu,[DISP][long press],[F MENU][long press],[F/W]+[0(SET)],[F/W]+[0(SET)],[FUNC](long press)/[FUNC]-->Quick Menu,[F] long press,[FUNC] long press,"[SET] - Center, unlabled button on panel-->DIAL to desired setting",[MENU],,,,
SQL Level,[SQL]+Dial-->[BACK](exit),[SQL]+Dial-->[BACK](exit),[F/W]+MONI(left side)-->DIAL-->PTT(exit) / (Menu:59),DIAL BASE,[MAIN]/[SUB]+Dial,SQL Button (second dial on VOLUME),SQL Button (second dial on VOLUME),Inner ring on lower volume dials,[SQL]+Dial,,,,
Power Level,[F/MW][TXPWR]+Dial-->[BACK](exit),[F MENU][TXPWR]+Dial-->[BACK](exit),[F/W]+[(LK)TXPO],[F/W]+[3(TX PO)]-->DIAL-->PTT(exit),[FUNC]-->TXPWR/[FUNC](long press)+Dial:08,[F]-->SEL (rotate) until PWR over[A],[FUNC]-->SEL (rotate) until PWR over[A],[LOW] - step to desired power,[V/MHZ][long press],,,,
APO (Auto Power Off),[DISP][long press]+[CONFIG]+Dial:01,[DISP][long press]+[CONFIG]+Dial:01,[F/W]+[0(SET)]+Dial:01,[F/W]+[0(SET)]-->(Menu: 1)=>[F/W]=>DIAL(select time)-->PTT(exit),[FUNC]-->SCAN/[FUNC](long press)+Dial:36,[FUNC] (long press)+Dial:06,[FUNC] (long press)+Dial:07,(Menu: 1) - Press upper dial and turn to desired time-->Exit [SET] [SET],[MENU][Auto Power OFF],,,,
Band Selection,[BAND],[BAND],"[BAND(SCN)BND DN](band up)
[F/W][BAND(SCN)BND DN](band down)",Select VFO [V/M]-->[BAND] . . .,[BAND],[BAND] button (upper case),[DWN/UP] buttons (over the dial),,[QUICK][Band Select],,,,
Scan,[F/MW][SCAN]-->[STOP](stop),[F MENU][SCAN]-->[STOP](stop),[BAND(SCN)BND DN](1 sec)-->PTT(exit),Select VFO [V/M] [^(MHz)] or [ (MHz)] [long press]-->PTT(exit),[FUNC]-->SCAN/[FUNC](long press)+Dial:52,[F]-->SEL (rotate) until SCN over[A],[FUNC]-->SEL (rotate) until SCN over[A],[SCN]-->Stop [SCN],[MENU][Scan],,,,
Dual Watch,[F/MW][DW],[F MENU][A.DUAL],"[V/M(DW)MT](memory)-->[F/W](1 sec)+DIAL(select memory for primary)-->[BAND(SCN)BND DN]=>PRI
DIAL(select memory for secondary)-->[V/M(DW)MT](1 sec)=>DW
[V/M(DW)MT](exit)","Select VFO [V/M]-->[F/W]-->[V/M(PRI)] to enable
[F/W]-->[V/M(PRI)] to disable
Select Memory [V/M]-->[F/W]-->[V/M(PRI)] to enable
[F/W]-->[V/M(PRI)] to disable",N/A ([DISP]-->Scope,Setup VFO-B/Setup VFO-A                           [FUNC]-->SEL (rotate) until DW over[C],Setup VFO-B/Setup VFO-A                           [FUNC]-->SEL (rotate) until DW over[C],Set desire frequency or memory channel-->[HM] long press-->VFO Priority Mode (aka Dual Watch)-->Exit[V/M],[MAIN/DUAL](long press),,,,
V/M,V/M,V/M,[V/M],[V/M],[V/M],[V/M],[V/M] (side on the dial),[V/M],[V/MHZ],,,,
Display Freq/Name,[A/B][long press],[A/B][long press],Press Moni Button on the side,Select Memory [V/M]-->[BAND],"By default on the screen, above the frequency.",[F]-->SEL (rotate) until TAG over[C],[FUNC]-->SEL (rotate) until TAG over[C],[LOW] long press,TBD,,,,
